"yearmonth","organ","field1","field2","field3","field4","field5","field6","field7","field8","field9","field10"
"105年10月","淡水分局","","","","","","","","","",""
"105年10月","汐止分局","","","","","","","","","",""
"105年10月","樹林分局","","","","","","","","","",""
"105年10月","新店分局","","","","","","","","","",""
"105年10月","蘆洲分局","","","","","","","3.0","","",""
"105年10月","土城分局","","","","","","","","","",""
"105年10月","金山分局","","","","","","","","","",""
"105年10月","瑞芳分局","","","","","","","","","",""
"105年11月","板橋分局","","","","","","","","","",""
"105年11月","海山分局","","","","","","","","","",""
"105年11月","永和分局","","","","","","","","","",""
"105年11月","中和分局","","","","","","","","","",""
"105年11月","三重分局","","1.0","","","","","","","",""
"105年11月","新莊分局","","","","2.0","","","1.0","","",""
"105年11月","三峽分局","","","","1.0","","","2.0","","",""
"105年11月","淡水分局","","","","","","","","","",""
"105年11月","汐止分局","","","","","","","","","",""
"105年11月","樹林分局","","1.0","","1.0","","","","","",""
"105年11月","新店分局","","","","","","","1.0","","",""
"105年11月","蘆洲分局","","1.0","","","","","1.0","","",""
"105年11月","土城分局","","","","","","","","","",""
"105年11月","金山分局","1.0","","","","","","","","",""
"105年11月","瑞芳分局","","","","","","","1.0","","",""
"105年12月","板橋分局","","","","","","","","","",""
"105年12月","海山分局","","","","","","","1.0","","",""
"105年12月","永和分局","","","","","","","","","",""
"105年12月","中和分局","","","","","","","1.0","","",""
"105年12月","三重分局","","","","","","","","","",""
"105年12月","新莊分局","","","","","","","","","",""
"105年12月","三峽分局","","","","1.0","","","","","",""
"105年12月","淡水分局","","","","","","","","","",""
"105年12月","汐止分局","","","","","","","","","",""
"105年12月","樹林分局","","","","","","","1.0","","",""
"105年12月","新店分局","","","","","","","","","",""
"105年12月","蘆洲分局","","","","","","","2.0","","",""
"105年12月","土城分局","","","","","","","","","",""
"105年12月","金山分局","","","","","","","1.0","","",""
"105年12月","瑞芳分局","","","","","","","","","",""
"106年1月","板橋分局","","","1.0","","","","","","",""
"106年1月","海山分局","","","","","","","2.0","","",""
"106年1月","永和分局","","","","","","","","","",""
"106年1月","中和分局","","","","","","","2.0","","",""
"106年1月","三重分局","","","","","","","","","",""
"106年1月","新莊分局","","","","","","","","","",""
"106年1月","三峽分局","","","","1.0","","","1.0","","",""
"106年1月","淡水分局","","","","","","","","","",""
"106年1月","汐止分局","","","","","","","1.0","","",""
"106年1月","樹林分局","","","","","","","","","",""
"106年1月","新店分局","","","","1.0","","","","","",""
"106年1月","蘆洲分局","","","","","","","2.0","","",""
"106年1月","土城分局","","","","","","","","","",""
"106年1月","金山分局","","","","","","","","","",""
"106年1月","瑞芳分局","","","","","","","","","",""
"106年2月","板橋分局","","","","","","","","","",""
"106年2月","海山分局","","","","","","","1.0","","",""
"106年2月","永和分局","","","","","","","","","",""
"106年2月","中和分局","","","","","","","","","",""
"106年2月","三重分局","","","","","","","2.0","","",""
"106年2月","新莊分局","","","","","","","","","",""
"106年2月","三峽分局","","","","","","","","","",""
"106年2月","淡水分局","","","","","","","","","",""
"106年2月","汐止分局","","","","","","","","","",""
"106年2月","樹林分局","","","","","","","1.0","","",""
"106年2月","新店分局","","","","","","","","","",""
"106年2月","蘆洲分局","","","","","","","","","",""
"106年2月","土城分局","","","","","","","","","",""
"106年2月","金山分局","","","","","","","1.0","","",""
"106年2月","瑞芳分局","","","","","","","","","",""
"106年3月","板橋分局","","","","","","","1.0","","",""
"106年3月","海山分局","","","","","","","","","",""
"106年3月","永和分局","","","","","","","","","",""
"106年3月","中和分局","","","","","","","","","",""
"106年3月","三重分局","","","","","","","","","",""
"106年3月","新莊分局","","","","","","","1.0","","",""
"106年3月","三峽分局","","","","","","","","","",""
"106年3月","淡水分局","","","","","","","","","",""
"106年3月","汐止分局","","","","","","","1.0","","",""
"106年3月","樹林分局","","","","","","","","","",""
"106年3月","新店分局","","","","","","","","","",""
"106年3月","蘆洲分局","","","","","","1.0","","","",""
"106年3月","土城分局","","","","","","","1.0","","",""
"106年3月","金山分局","","","","","","","1.0","","",""
"106年3月","瑞芳分局","","","","","","","","","",""
"106年4月","板橋分局","","","","","","","2.0","","",""
"106年4月","海山分局","","","","","","1.0","","","",""
"106年4月","永和分局","","","","","","","","","",""
"106年4月","中和分局","","","","","","","2.0","","",""
"106年4月","三重分局","","","","","","","","","",""
"106年4月","新莊分局","","","","","","","","","",""
"106年4月","三峽分局","","","","","","","1.0","","",""
"106年4月","淡水分局","","","","","","","","","",""
"106年4月","汐止分局","","","","","","","1.0","","",""
"106年4月","樹林分局","","","","","","","2.0","","",""
"106年4月","新店分局","","","","3.0","","","","","",""
"106年4月","蘆洲分局","","","","","","","","","",""
"106年4月","土城分局","","","","","","","1.0","","",""
"106年4月","金山分局","","","","","","","1.0","","",""
"106年4月","瑞芳分局","","","","","","","","","",""
"106年5月","板橋分局","","","","","","","1.0","","",""
"106年5月","海山分局","","","","","","","","","",""
"106年5月","永和分局","","","","","","","","","",""
"106年5月","中和分局","","","","","","","","","",""
"106年5月","三重分局","","","","","","","","","",""
"106年5月","新莊分局","","1.0","","","","","1.0","","",""
"106年5月","三峽分局","","","","","","","","","",""
"106年5月","淡水分局","","","","","","","","","",""
"106年5月","汐止分局","","","","","","","","","",""
"106年5月","樹林分局","","","","","","","","","",""
"106年5月","新店分局","","","","","","","","","",""
"106年5月","蘆洲分局","","","","","","","2.0","","",""
"106年5月","土城分局","","","","","","","","","",""
"106年5月","金山分局","","","","","","","","","",""
"106年5月","瑞芳分局","","","","","","","","","",""
"106年6月","板橋分局","","","","","","","1.0","","",""
"106年6月","海山分局","","","","","","","","","",""
"106年6月","永和分局","","","","","","","","","",""
"106年6月","中和分局","","","","","","","","","",""
"106年6月","三重分局","","","","","","","","","",""
"106年6月","新莊分局","","","","","","","3.0","","",""
"106年6月","三峽分局","","","","","","","","","",""
"106年6月","淡水分局","","","","","","","","","",""
"106年6月","汐止分局","","","","","","","","","",""
"106年6月","樹林分局","","","","","","","","","",""
"106年6月","新店分局","","","","","","","","","",""
"106年6月","蘆洲分局","","","","","","","","","",""
"106年6月","土城分局","","","","","","","2.0","","",""
"106年6月","金山分局","","","","","","","","","",""
"106年6月","瑞芳分局","","","1.0","","","","","","",""
"106年7月","板橋分局","","","","","","","1.0","","",""
"106年7月","海山分局","","","","","","","1.0","","",""
"106年7月","永和分局","","","","","","","","","",""
"106年7月","中和分局","","","","","","","1.0","","",""
"106年7月","三重分局","","","","","","","","","",""
"106年7月","新莊分局","","","","","","","","","",""
"106年7月","三峽分局","","","","","","","1.0","","",""
"106年7月","淡水分局","","","","","","","1.0","","",""
"106年7月","汐止分局","","","","","","","","","",""
"106年7月","樹林分局","","","","","","","","","",""
"106年7月","新店分局","","","","","","","1.0","","",""
"106年7月","蘆洲分局","","","","","","","","","",""
"106年7月","土城分局","","","","","","","","","",""
"106年7月","金山分局","1.0","","","","","","","","",""
"106年7月","瑞芳分局","","","","1.0","","","","","",""
"106年8月","板橋分局","","","","","","","","","",""
"106年8月","海山分局","","","","","","","","","",""
"106年8月","永和分局","","","","","","","","","",""
"106年8月","中和分局","","","","","","","1.0","","",""
"106年8月","三重分局","","","","","","","1.0","","",""
"106年8月","新莊分局","","","","","","","1.0","","",""
"106年8月","三峽分局","","1.0","","","","","","","",""
"106年8月","淡水分局","","","","","","","","","",""
"106年8月","汐止分局","","","","","","","","","",""
"106年8月","樹林分局","","","","1.0","","","","","",""
"106年8月","新店分局","","","","1.0","","","","","",""
"106年8月","蘆洲分局","","","","","","","2.0","","",""
"106年8月","土城分局","","","","","","","1.0","","",""
"106年8月","金山分局","","","","","","","","","",""
"106年8月","瑞芳分局","","","","","","","1.0","","",""
"106年9月","板橋分局","","","","","","","1.0","","",""
"106年9月","海山分局","","","","","","","3.0","","",""
"106年9月","永和分局","","","","","","","","","",""
"106年9月","中和分局","","","","","","","2.0","","",""
"106年9月","三重分局","","","","","","","","","",""
"106年9月","新莊分局","","","","","","","1.0","","",""
"106年9月","三峽分局","","","","","","","","","",""
"106年9月","淡水分局","","","","","","","1.0","","",""
"106年9月","汐止分局","","","","","","","","","",""
"106年9月","樹林分局","","","","","","","2.0","","",""
"106年9月","新店分局","","","","","","","1.0","","",""
"106年9月","蘆洲分局","","","","","","","1.0","","",""
"106年9月","土城分局","","","","","","","","","",""
"106年9月","金山分局","","","","","","","","","",""
"106年9月","瑞芳分局","","","","","","","","","",""
"106年10月","板橋分局","","","1.0","","","1.0","","","",""
"106年10月","海山分局","","","","","","","","","",""
"106年10月","永和分局","","","","","","","","","",""
"106年10月","中和分局","","","","","","","2.0","","",""
"106年10月","三重分局","","","","","","","","","",""
"106年10月","新莊分局","","1.0","","","","","","","",""
"106年10月","三峽分局","","","","","","","","","",""
"106年10月","淡水分局","","","","","","","","","",""
"106年10月","汐止分局","","","","","","","","","",""
"106年10月","樹林分局","","","","","","","1.0","","",""
"106年10月","新店分局","","","","","","","","","",""
"106年10月","蘆洲分局","","","","","","","1.0","","",""
"106年10月","土城分局","","","","","","","","","",""
"106年10月","金山分局","","","","","","","1.0","","",""
"106年10月","瑞芳分局","","","","1.0","","","","","",""
"106年11月","板橋分局","","","","","","","","","",""
"106年11月","海山分局","","","","","","","2.0","","",""
"106年11月","永和分局","","","","","","","2.0","","",""
"106年11月","中和分局","","","","","","","1.0","","",""
"106年11月","三重分局","","","","","","","","","",""
"106年11月","新莊分局","","","","","","","","","",""
"106年11月","三峽分局","","","","","","","1.0","","",""
"106年11月","淡水分局","","","","","","","","","",""
"106年11月","汐止分局","","","","","","","","","",""
"106年11月","樹林分局","","","","","","","","","",""
"106年11月","新店分局","","","","1.0","","","","","",""
"106年11月","蘆洲分局","","","","","","","2.0","","",""
"106年11月","土城分局","","","","","","","","","",""
"106年11月","金山分局","","","","","","","","","",""
"106年11月","瑞芳分局","","","","","","","","","",""
"106年12月","板橋分局","","","","","","","1.0","","",""
"106年12月","海山分局","","","","","","","1.0","","",""
"106年12月","永和分局","","","","","","","","","",""
"106年12月","中和分局","","","","","","","","","",""
"106年12月","三重分局","","","","1.0","","","","","",""
"106年12月","新莊分局","","","","","","","1.0","","",""
"106年12月","三峽分局","","","","","","","1.0","","",""
"106年12月","淡水分局","","","","","","","2.0","","",""
"106年12月","汐止分局","","","","1.0","","","1.0","","",""
"106年12月","樹林分局","","","","","","","1.0","","",""
"106年12月","新店分局","","","","","","","1.0","","",""
"106年12月","蘆洲分局","","","","1.0","","","1.0","","",""
"106年12月","土城分局","","","","","","","1.0","","",""
"106年12月","金山分局","","","","","","","","","",""
"106年12月","瑞芳分局","","","","","","","","","",""
"107年1月","板橋分局","","","","","","","1.0","","",""
"107年1月","海山分局","","","1.0","","","","","","",""
"107年1月","永和分局","","","","","","","","","",""
"107年1月","中和分局","","","","","","","","","",""
"107年1月","三重分局","","","","","","","","","",""
"107年1月","新莊分局","","","","","","","","","",""
"107年1月","三峽分局","","","","","","","1.0","","",""
"107年1月","淡水分局","","","","","","","","","",""
"107年1月","汐止分局","","","","","","","","","",""
"107年1月","樹林分局","","","","","","","1.0","","",""
"107年1月","新店分局","","","","1.0","","","","","",""
"107年1月","蘆洲分局","","","","1.0","","","","","",""
"107年1月","土城分局","","","","","","","1.0","","",""
"107年1月","金山分局","","","","","","","","","",""
"107年1月","瑞芳分局","","","","","","","1.0","","",""
"107年1月","林口分局","","","","","","","","","",""
"107年2月","板橋分局","","","1.0","","","","","","",""
"107年2月","海山分局","","","","","","","","","",""
"107年2月","永和分局","","","","","","","","","",""
"107年2月","中和分局","","","","","","","","","",""
"107年2月","三重分局","","","","","","","","","",""
"107年2月","新莊分局","","","","","","","","","",""
"107年2月","三峽分局","","","","","","","","","",""
"107年2月","淡水分局","","","","","","","","","",""
"107年2月","汐止分局","","","","","","","","","",""
"107年2月","樹林分局","","","","","","","","","",""
"107年2月","新店分局","","1.0","","1.0","","","","","",""
"107年2月","蘆洲分局","","","","","","","1.0","","",""
"107年2月","土城分局","","","","","","","","","",""
"107年2月","金山分局","","","","1.0","","","","","",""
"107年2月","瑞芳分局","","","","","","","","","",""
"107年2月","林口分局","","","","","","","","","",""
"107年3月","板橋分局","","","","","","","","","",""
"107年3月","海山分局","","","","","","","","","",""
"107年3月","永和分局","","","","","","","","","",""
"107年3月","中和分局","","","","","","","1.0","","",""
"107年3月","三重分局","","","","","","","1.0","","",""
"107年3月","新莊分局","","","","","","","2.0","","",""
"107年3月","三峽分局","","","","","","","","","",""
"107年3月","淡水分局","","","","","","","","","",""
"107年3月","汐止分局","","","","","","","","","",""
"107年3月","樹林分局","","","","","","","","","",""
"107年3月","新店分局","","","","","","","","","",""
"107年3月","蘆洲分局","","","","","","","2.0","","",""
"107年3月","土城分局","","","","","","","","","",""
"107年3月","金山分局","","","","1.0","","","","","",""
"107年3月","瑞芳分局","","","","","","","","","",""
"107年3月","林口分局","","","","","","","1.0","","",""
"107年4月","板橋分局","","","","","","","1.0","","",""
"107年4月","海山分局","","","","","","","1.0","","",""
"107年4月","永和分局","","","","","","","","","",""
"107年4月","中和分局","","","","","","","2.0","","",""
"107年4月","三重分局","","","","","","","1.0","","",""
"107年4月","新莊分局","","","","","","","1.0","","",""
"107年4月","三峽分局","","","","","","","","","",""
"107年4月","淡水分局","","","","1.0","","","","","",""
"107年4月","汐止分局","","","","","","","1.0","","",""
"107年4月","樹林分局","","","","","","","","","",""
"107年4月","新店分局","","","","","","","","","",""
"107年4月","蘆洲分局","","","","","","","","","",""
"107年4月","土城分局","","","","","","","","","",""
"107年4月","金山分局","","","","","","","1.0","","",""
"107年4月","瑞芳分局","","","","","","","","","",""
"107年4月","林口分局","","","","","","","1.0","","",""
"107年5月","板橋分局","","","","","","","1.0","","",""
"107年5月","海山分局","","","","","","","2.0","","",""
"107年5月","永和分局","","","","","","","","","",""
"107年5月","中和分局","","","","","","","","","",""
"107年5月","三重分局","","","","","","","1.0","","",""
"107年5月","新莊分局","","","","","","","","","",""
"107年5月","三峽分局","","","","","","","1.0","","",""
"107年5月","淡水分局","","","","","","","1.0","","",""
"107年5月","汐止分局","","","","","","","","","",""
"107年5月","樹林分局","","","","","","","","","",""
"107年5月","新店分局","","","","1.0","","","1.0","","",""
"107年5月","蘆洲分局","","","","","","","","","",""
"107年5月","土城分局","","","","","","","","","",""
"107年5月","金山分局","","","","","","","","","",""
"107年5月","瑞芳分局","1.0","","","","","","","","",""
"107年5月","林口分局","","","","","","","","","",""
"107年6月","板橋分局","","","","","","","","","",""
"107年6月","海山分局","","","","","","","","","",""
"107年6月","永和分局","","","","","","","","","",""
"107年6月","中和分局","","","","","","","","","",""
"107年6月","三重分局","","1.0","","","","","","","",""
"107年6月","新莊分局","","","","","","","","","",""
"107年6月","三峽分局","","","","1.0","","","","","",""
"107年6月","淡水分局","","","","","","","1.0","","",""
"107年6月","汐止分局","","","","","","","","","",""
"107年6月","樹林分局","","","","","","","2.0","","",""
"107年6月","新店分局","","","","1.0","","","1.0","","",""
"107年6月","蘆洲分局","","","","","","","1.0","","",""
"107年6月","土城分局","","","","","","","","","",""
"107年6月","金山分局","","","","","","","","","",""
"107年6月","瑞芳分局","","","","","","","","","",""
"107年6月","林口分局","","","","","","","","","",""
"107年7月","板橋分局","","","","","","","","","",""
"107年7月","海山分局","","","","","","","1.0","","",""
"107年7月","永和分局","","1.0","","","","","","","",""
"107年7月","中和分局","","","","","","","","","",""
"107年7月","三重分局","","","","","","","1.0","","",""
"107年7月","新莊分局","","","","","","","","","",""
"107年7月","三峽分局","","","","","","","1.0","","",""
"107年7月","淡水分局","","","","","","","","","",""
"107年7月","汐止分局","","","","1.0","","","","","",""
"107年7月","樹林分局","","","","","","","","","",""
"107年7月","新店分局","","","","","","","","","",""
"107年7月","蘆洲分局","","","","","","","","","",""
"107年7月","土城分局","","","","","1.0","","1.0","","",""
"107年7月","金山分局","","","","","","","","","",""
"107年7月","瑞芳分局","","","","","","","","","",""
"107年7月","林口分局","","","","","","","1.0","","",""
"107年8月","板橋分局","","","","","","","1.0","","",""
"107年8月","海山分局","","","","","","","1.0","","",""
"107年8月","永和分局","","1.0","","","","","","","",""
"107年8月","中和分局","","","","","","","","","",""
"107年8月","三重分局","","","","1.0","","","1.0","","",""
"107年8月","新莊分局","","","","1.0","","","","","",""
"107年8月","三峽分局","","","","","","","1.0","","",""
"107年8月","淡水分局","","","","1.0","","","","","",""
"107年8月","汐止分局","","","","","","","","","",""
"107年8月","樹林分局","","","","","","","1.0","","",""
"107年8月","新店分局","","","","","","","1.0","","",""
"107年8月","蘆洲分局","","","","","","","2.0","","",""
"107年8月","土城分局","","","","","","","","","",""
"107年8月","金山分局","","","","","","","","","",""
"107年8月","瑞芳分局","","","","1.0","","","","","",""
"107年8月","林口分局","","","","","","","1.0","","",""
"107年9月","板橋分局","","","","","","","","","",""
"107年9月","海山分局","","1.0","","","","","","","",""
"107年9月","永和分局","","1.0","","","","","1.0","","",""
"107年9月","中和分局","","","","","","","","","",""
"107年9月","三重分局","","","","","","","","","",""
"107年9月","新莊分局","","","","","","","1.0","","",""
"107年9月","三峽分局","","","","","","","","","",""
"107年9月","淡水分局","","","","","","","1.0","","",""
"107年9月","汐止分局","","","","","","","","","",""
"107年9月","樹林分局","","","","","","","3.0","","",""
"107年9月","新店分局","","","","","","","","","",""
"107年9月","蘆洲分局","","","","","","","","","",""
"107年9月","土城分局","","","","","","","","","",""
"107年9月","金山分局","","","","","","","","","",""
"107年9月","瑞芳分局","","","","","","","1.0","","",""
"107年9月","林口分局","","","","","","","","","",""
"107年10月","板橋分局","","","","","","","1.0","","",""
"107年10月","海山分局","","","","","","","","","",""
"107年10月","永和分局","","","","","","","","","",""
"107年10月","中和分局","","","","","","","1.0","","",""
"107年10月","三重分局","","","","","","","","","",""
"107年10月","新莊分局","","","","","","","1.0","","",""
"107年10月","三峽分局","","","","","","","","","",""
"107年10月","淡水分局","","","","","","","1.0","","",""
"107年10月","汐止分局","","","","","","","","","",""
"107年10月","樹林分局","","","","","","","","","",""
"107年10月","新店分局","","","","","","","","","",""
"107年10月","蘆洲分局","","","","","","","","","",""
"107年10月","土城分局","","","","","","","1.0","","",""
"107年10月","金山分局","","","","","","","","","",""
"107年10月","瑞芳分局","","","","","","","","","",""
"107年10月","林口分局","","","","","","","1.0","","",""
"107年11月","板橋分局","","","","","","","1.0","","",""
"107年11月","海山分局","","","","","","","","","",""
"107年11月","永和分局","","","","","","","","","",""
"107年11月","中和分局","","","","","","","","","",""
"107年11月","三重分局","","1.0","","","","","1.0","","",""
"107年11月","新莊分局","","","","","","","2.0","","",""
"107年11月","三峽分局","","","","","","","","","",""
"107年11月","淡水分局","","","","","","","","","",""
"107年11月","汐止分局","","","","","","","1.0","","",""
"107年11月","樹林分局","","","","","","","","","",""
"107年11月","新店分局","","","","1.0","","","2.0","","",""
"107年11月","蘆洲分局","","","","","","","1.0","","",""
"107年11月","土城分局","","","","","","","1.0","","",""
"107年11月","金山分局","","","","1.0","","","","","",""
"107年11月","瑞芳分局","","","","","","","","","",""
"107年11月","林口分局","","","","","","","1.0","","",""
"107年12月","板橋分局","","","","","","","","","",""
"107年12月","海山分局","","","","","","","","","",""
"107年12月","永和分局","","","","","","","","","",""
"107年12月","中和分局","","","","","","","","","",""
"107年12月","三重分局","","","","","","","1.0","","",""
"107年12月","新莊分局","","","","","","","1.0","","",""
"107年12月","三峽分局","","","","1.0","","","2.0","","",""
"107年12月","淡水分局","","","","","","","2.0","","",""
"107年12月","汐止分局","","","","","","","","","",""
"107年12月","樹林分局","","","","1.0","","","1.0","","",""
"107年12月","新店分局","","","","","","","","","",""
"107年12月","蘆洲分局","","","","","","","2.0","","",""
"107年12月","土城分局","","","","","","","1.0","","",""
"107年12月","金山分局","","","","","","","","","",""
"107年12月","瑞芳分局","","","","1.0","","","1.0","","",""
"107年12月","林口分局","","","","1.0","","","","","",""
"108年1月","板橋分局","","","","","","","2.0","","",""
"108年1月","海山分局","","1.0","","","","","2.0","","",""
"108年1月","永和分局","","","","","","","","","",""
"108年1月","中和分局","","","","","","","","","",""
"108年1月","三重分局","","","","","","","3.0","","",""
"108年1月","新莊分局","","","","","","","","","",""
"108年1月","三峽分局","","","","","","","2.0","","",""
"108年1月","淡水分局","","","","","","","2.0","","",""
"108年1月","汐止分局","","","","","","","","","",""
"108年1月","樹林分局","","","","","","","","","",""
"108年1月","新店分局","","","","","","","1.0","","",""
"108年1月","蘆洲分局","","","","","","","2.0","","",""
"108年1月","土城分局","","","","","","","1.0","","",""
"108年1月","金山分局","","","","","","","","","",""
"108年1月","瑞芳分局","","","","","","","1.0","","",""
"108年1月","林口分局","","","","","","","1.0","","",""
"108年2月","板橋分局","","","","","","","","","",""
"108年2月","海山分局","","","","","","","","","",""
"108年2月","永和分局","","","","","","","","","",""
"108年2月","中和分局","","","","","","","1.0","","",""
"108年2月","三重分局","","","","","","","","","",""
"108年2月","新莊分局","","","","","","","","","",""
"108年2月","三峽分局","","","","","","","","","",""
"108年2月","淡水分局","","","","","","","","","",""
"108年2月","汐止分局","","","","","","","","","",""
"108年2月","樹林分局","","","","1.0","","","","","",""
"108年2月","新店分局","","","","1.0","","","1.0","","",""
"108年2月","蘆洲分局","","","","","","","","","",""
"108年2月","土城分局","","","","","","","","","",""
"108年2月","金山分局","","","","","","","","","",""
"108年2月","瑞芳分局","","","","1.0","","","","","",""
"108年2月","林口分局","","","","","","","","","",""
"108年3月","板橋分局","","","","1.0","","","","","",""
"108年3月","海山分局","","","","","","","","","",""
"108年3月","永和分局","","1.0","","","","","","","",""
"108年3月","中和分局","","","","","","","","","",""
"108年3月","三重分局","","","","","","","2.0","","",""
"108年3月","新莊分局","","","1.0","","","","","","",""
"108年3月","三峽分局","","","","","","","","","",""
"108年3月","淡水分局","","","","1.0","","","","","",""
"108年3月","汐止分局","","","","","","","","","",""
"108年3月","樹林分局","","","","","","","","","",""
"108年3月","新店分局","","","","1.0","","","","","",""
"108年3月","蘆洲分局","","","","1.0","","","","","",""
"108年3月","土城分局","","","","","","","","","",""
"108年3月","金山分局","","","","","","","","","",""
"108年3月","瑞芳分局","","","","","","","","","",""
"108年3月","林口分局","","","","","","","2.0","","",""
"108年4月","板橋分局","","","","","","","","","",""
"108年4月","海山分局","","","","","","","","","",""
"108年4月","永和分局","","","","","","","1.0","","",""
"108年4月","中和分局","","","","1.0","","","","","",""
"108年4月","三重分局","","","","","","1.0","1.0","","",""
"108年4月","新莊分局","","","","","","","3.0","","",""
"108年4月","三峽分局","","","","","","","","","",""
"108年4月","淡水分局","","","","","","","1.0","","",""
"108年4月","汐止分局","","","","","","","","","",""
"108年4月","樹林分局","","","","","","","1.0","","",""
"108年4月","新店分局","","","","1.0","","","","","",""
"108年4月","蘆洲分局","","","","","","","2.0","","",""
"108年4月","土城分局","","","","","","","","","",""
"108年4月","金山分局","","","","","","","","","",""
"108年4月","瑞芳分局","","","","","","","","","",""
"108年4月","林口分局","","","","1.0","","","1.0","","",""
"108年5月","板橋分局","","","","","","","","","",""
"108年5月","海山分局","","","","","","","1.0","","",""
"108年5月","永和分局","","","","","","","","","",""
"108年5月","中和分局","","","","","","","1.0","","",""
"108年5月","三重分局","","","","","","","1.0","","",""
"108年5月","新莊分局","","","","1.0","","","1.0","","",""
"108年5月","三峽分局","","","","1.0","","","2.0","","",""
"108年5月","淡水分局","","","","","","","","","",""
"108年5月","汐止分局","","","","","","","2.0","","",""
"108年5月","樹林分局","","","","","","","1.0","","",""
"108年5月","新店分局","","","","2.0","","","2.0","","",""
"108年5月","蘆洲分局","","","","","","","","","",""
"108年5月","土城分局","","","","1.0","","","","","",""
"108年5月","金山分局","","","","","","","","","",""
"108年5月","瑞芳分局","","","","","","","1.0","","",""
"108年5月","林口分局","","","","","","","","","",""
"108年6月","板橋分局","","","","","","","","","",""
"108年6月","海山分局","","","","","","","1.0","","",""
"108年6月","永和分局","","","","","","","","","",""
"108年6月","中和分局","","","","","","","2.0","","",""
"108年6月","三重分局","","1.0","","","","","","","",""
"108年6月","新莊分局","","","","","","","1.0","","",""
"108年6月","三峽分局","","","","","","","","","",""
"108年6月","淡水分局","","","","","","","","","",""
"108年6月","汐止分局","","","","1.0","","","","","",""
"108年6月","樹林分局","","","","","","","","","",""
"108年6月","新店分局","","","","","","","","","",""
"108年6月","蘆洲分局","","1.0","","","","","4.0","","",""
"108年6月","土城分局","","","","","","","","","",""
"108年6月","金山分局","","","","1.0","","","1.0","","",""
"108年6月","瑞芳分局","","","","1.0","","","","","",""
"108年6月","林口分局","","","","1.0","","","1.0","","",""
"108年7月","板橋分局","","","","","","","1.0","","",""
"108年7月","海山分局","","","","","","","","","",""
"108年7月","永和分局","","","","","","","","","",""
"108年7月","中和分局","","","","","","","","","",""
"108年7月","三重分局","","","1.0","","","","","","",""
"108年7月","新莊分局","","","","","","","1.0","","",""
"108年7月","三峽分局","","","","1.0","","","","","",""
"108年7月","淡水分局","","","","","","","","","",""
"108年7月","汐止分局","","","","1.0","","","","","",""
"108年7月","樹林分局","","","","","","","1.0","","",""
"108年7月","新店分局","","","","","","","","","",""
"108年7月","蘆洲分局","","","","","","","2.0","","",""
"108年7月","土城分局","","","1.0","","","","","","",""
"108年7月","金山分局","","","","","","","","","",""
"108年7月","瑞芳分局","","","","1.0","","","","","",""
"108年7月","林口分局","","","","","","","","","",""
"108年8月","板橋分局","","","","","","","","","",""
"108年8月","海山分局","","","","","","","1.0","","",""
"108年8月","永和分局","","1.0","","","","","1.0","","",""
"108年8月","中和分局","","","","","","","","","",""
"108年8月","三重分局","","","","","","","","","",""
"108年8月","新莊分局","","","","","","","2.0","","",""
"108年8月","三峽分局","","","","","","","","","",""
"108年8月","淡水分局","","","","","","","","","",""
"108年8月","汐止分局","","","","","","","","","",""
"108年8月","樹林分局","","","","","","","1.0","","",""
"108年8月","新店分局","","","","","","","1.0","","",""
"108年8月","蘆洲分局","","","","","","","1.0","","",""
"108年8月","土城分局","","","","","","","","","",""
"108年8月","金山分局","","","","","","","2.0","","",""
