Classification,種類,Family,科名,Scientific Name(學名),Common Name(俗名),Category(保育等級),Remarks(備註)
Marine mammals,海洋哺乳類,Lutrinae,水獺亞科,Enhydra lutris,海獺,II,
Marine mammals,海洋哺乳類,Lutrinae,水獺亞科,Enhydra lutris nereis,南方海獺,I,
Marine mammals,海洋哺乳類,Lutrinae,水獺亞科,Lontra felina,秘魯水獺（貓獺、海獺）,I,
Marine mammals,海洋哺乳類,Otariidae,海獅科,Arctocephalus gazella,南極毛皮海獅,II,
Marine mammals,海洋哺乳類,Otariidae,海獅科,Arctocephalus philippii,智利毛皮海獅,II,
Marine mammals,海洋哺乳類,Otariidae,海獅科,Arctocephalus galapagoensis,赤道毛皮海獅,II,
Marine mammals,海洋哺乳類,Otariidae,海獅科,Arctocephalus pusillus,非洲毛皮海獅,II,
Marine mammals,海洋哺乳類,Otariidae,海獅科,Arctocephalus forsteri,新澳毛皮海獅,II,
Marine mammals,海洋哺乳類,Otariidae,海獅科,Arctocephalus tropicalis,幅北毛皮海獅,II,
Marine mammals,海洋哺乳類,Otariidae,海獅科,Arctocephalus australis,南美毛皮海獅,II,
Marine mammals,海洋哺乳類,Otariidae,海獅科,Arctocephalus townsendi,奎達路海獅（北美毛皮海獅）,I,
Marine mammals,海洋哺乳類,Phocidae,海豹科,Mirounga leonine,象鼻海豹,II,
Marine mammals,海洋哺乳類,Phocidae,海豹科,Monachus schauinslandi,夏威夷僧海豹,I,
Marine mammals,海洋哺乳類,Phocidae,海豹科,Monachus monachus,地中海僧海豹,I,
Marine mammals,海洋哺乳類,Phocidae,海豹科,Monachus tropicalis,西印度僧海豹,I,
Marine mammals,海洋哺乳類,Balaenidae,露脊鯨科,Balaena mysticetus,北極鯨,I,
Marine mammals,海洋哺乳類,Balaenidae,露脊鯨科,Eubalaena australis,南露脊鯨,I,
Marine mammals,海洋哺乳類,Balaenidae,露脊鯨科,Eubalaena glacialis,北大西洋露脊鯨,I,
Marine mammals,海洋哺乳類,Balaenidae,露脊鯨科,Eubalaena japonica,北太平洋露脊鯨,I,
Marine mammals,海洋哺乳類,Balaenopteridae,鬚鯨科,Balaenoptera acutorostrata,小鬚鯨,I,
Marine mammals,海洋哺乳類,Balaenopteridae,鬚鯨科,Balaenoptera bonaerensis,南極小鬚鯨,I,
Marine mammals,海洋哺乳類,Balaenopteridae,鬚鯨科,Balaenoptera borealis,?鯨,I,
Marine mammals,海洋哺乳類,Balaenopteridae,鬚鯨科,Balaenoptera edeni,布氏鯨(鯷鯨),I,
Marine mammals,海洋哺乳類,Balaenopteridae,鬚鯨科,Balaenoptera musculus,藍鯨,I,
Marine mammals,海洋哺乳類,Balaenopteridae,鬚鯨科,Balaenoptera omurai,大村鯨,I,
Marine mammals,海洋哺乳類,Balaenopteridae,鬚鯨科,Balaenoptera physalus,長須鯨,I,
Marine mammals,海洋哺乳類,Balaenopteridae,鬚鯨科,Megaptera novaeangliae,大翅鯨,I,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Cephalorhynchus commersonii,康氏矮海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Cephalorhynchus eutropia,智利矮海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Cephalorhynchus heavisidii,海氏矮海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Cephalorhynchus hectori,賀氏矮海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Delphinus delphis,短吻真海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Delphinus capensis,長吻真海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Feresa attenuata,小虎鯨,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Globicephala macrorhynchus,短肢領航鯨,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Globicephala melas,長肢領航鯨,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Grampus griseus,瑞氏海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Lagenodelphis hosei,弗氏海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Lagenorhynchus albirostris,白喙斑紋海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Lagenorhynchus acutus,大西洋斑紋海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Lagenorhynchus obscurus,暗色斑紋海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Lagenorhynchus obliquidens,太平洋斑紋海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Lagenorhynchus cruciger,沙漏斑紋海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Lagenorhynchus australis,皮氏斑紋海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Lissodelphis borealis,北露脊海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Lissodelphis peronii,南露脊海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Orcaella brevirostris,伊河海豚,I,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Orcaella heinsohni,矮鰭海豚,I,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Orcinus orca,虎鯨,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Peponocephala electra,瓜頭鯨,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Pseudorca crassidens,偽虎鯨,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Steno bredanensis,糙齒海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Sotalia fluviatilis,土庫海豚,I,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Sotalia guianensis,圭那海豚,I,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Sousa sahulensis,澳洲駝海豚,I,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Sousa plumbea,印度洋駝海豚,I,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Sousa teuszii,大西洋駝海豚,I,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Sousa chinensis,中華白海豚,I,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Tursiops aduncus,印太瓶鼻海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,"Tursiops truncatus
(Synonym : Tursiops gillii)",真瓶鼻海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Stenella frontalis,大西洋斑海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Stenella longirostris,長吻飛旋海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Stenella attenuata,熱帶斑海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Stenella clymene,短吻飛旋海豚,II,
Marine mammals,海洋哺乳類,Delphinidae,海豚科,Stenella coeruleoalba,條紋海豚,II,
Marine mammals,海洋哺乳類,Eschrichtiidae,灰鯨科,Eschrichtius robustus,灰鯨,I,
Marine mammals,海洋哺乳類,Iniidae,亞河豚科,Inia geoffrensis,亞河豚,II,
Marine mammals,海洋哺乳類,Kogiidae,小抹香鯨科,Kogia breviceps,小抹香鯨,II,
Marine mammals,海洋哺乳類,Kogiidae,小抹香鯨科,Kogia sima,侏儒抹香鯨,II,
Marine mammals,海洋哺乳類,Lipotidae,白鱀豚科,Lipotes vexillifer,白鱀豚,I,
Marine mammals,海洋哺乳類,Monodontidae,一角鯨科,Delphinapterus leucas,白鯨,II,
Marine mammals,海洋哺乳類,Monodontidae,一角鯨科,Monodon monoceros,一角鯨,II,
Marine mammals,海洋哺乳類,Neobalaenidae,小露脊鯨科,Caperea marginata,小露脊鯨,I,
Marine mammals,海洋哺乳類,Phocoenidae,鼠海豚科,Neophocaena asiaeorientalis,窄脊露脊鼠海豚,II,
Marine mammals,海洋哺乳類,Phocoenidae,鼠海豚科,Neophocaena phocaenoides,寬脊露脊鼠海豚,I,
Marine mammals,海洋哺乳類,Phocoenidae,鼠海豚科,Phocoena sinus,加灣鼠海豚,I,
Marine mammals,海洋哺乳類,Phocoenidae,鼠海豚科,Phocoena phocoena,港灣鼠海豚,II,
Marine mammals,海洋哺乳類,Phocoenidae,鼠海豚科,Phocoena spinipinnis,棘鰭鼠海豚,II,
Marine mammals,海洋哺乳類,Phocoenidae,鼠海豚科,Phocoena dioptrica,黑眶鼠海豚,II,
Marine mammals,海洋哺乳類,Phocoenidae,鼠海豚科,Phocoenoides dalli,白腰鼠海豚,II,
Marine mammals,海洋哺乳類,Physeteridae,抹香鯨科,Physeter macrocephalus,抹香鯨,I,
Marine mammals,海洋哺乳類,Platanistidae,恆河豚科,Platanista gangetica,琲e豚,I,
Marine mammals,海洋哺乳類,Pontoporiidae,拉河豚科,Pontoporia blainvillei,拉河豚,II,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Berardius bairdii,貝氏喙鯨,I,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Berardius arnuxii,阿氏喙鯨,I,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Hyperoodon ampullatus,北瓶鼻鯨,I,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Hyperoodon planifrons,南瓶鼻鯨,I,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Indopacetus pacificus,朗氏喙鯨,II,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Mesoplodon bidens,梭氏中喙鯨,II,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Mesoplodon densirostris,柏氏中喙鯨,II,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Mesoplodon europaeus,杰氏中喙鯨,II,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Mesoplodon layardii,長齒中喙鯨,II,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Mesoplodon hectori,賀氏中喙鯨,II,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Mesoplodon grayi,哥氏中喙鯨,II,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Mesoplodon stejnegeri,史氏中喙鯨,II,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Mesoplodon bowdoini,安氏中喙鯨,II,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Mesoplodon mirus,初氏中喙鯨,II,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Mesoplodon ginkgodens,銀杏齒中喙鯨,II,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Mesoplodon carlhubbsi,哈氏中喙鯨,II,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Mesoplodon perrini,佩氏中喙鯨,II,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Mesoplodon peruvianus,小中喙鯨,II,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Mesoplodon traversii,鏟齒中喙鯨,II,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Tasmacetus shepherdi,謝氏喙鯨,II,
Marine mammals,海洋哺乳類,Ziphiidae,喙鯨科,Ziphius cavirostris,柯氏喙鯨,II,
Marine mammals,海洋哺乳類,Dugongidae,儒艮科,Dugong dugon,印度太平洋儒艮,I,
Marine mammals,海洋哺乳類,Trichechidae,海牛科,Trichechus inunguis,亞馬遜海牛,I,
Marine mammals,海洋哺乳類,Trichechidae,海牛科,Trichechus manatus,北美海牛,I,
Marine mammals,海洋哺乳類,Trichechidae,海牛科,Trichechus senegalensis,非洲海牛,I,
Marine birds,海洋鳥類,Laridae,鷗科,Anous stolidus,玄燕鷗,II,
Marine birds,海洋鳥類,Laridae,鷗科,Larus relictus,遺鷗,I,
Marine birds,海洋鳥類,Laridae,鷗科,"Onychoprion anaethetus
(Synonym : Sterna anaethetus)",白眉燕鷗,II,
Marine birds,海洋鳥類,Laridae,鷗科,Saundersilarus saundersi,黑嘴鷗,II,
Marine birds,海洋鳥類,Laridae,鷗科,Sterna dougallii,紅燕鷗（粉紅燕鷗）,II,
Marine birds,海洋鳥類,Laridae,鷗科,Sterna sumatrana,蒼燕鷗,II,
Marine birds,海洋鳥類,Laridae,鷗科,"Sternula albifrons
(Synonym : Sterna albifrons)",小燕鷗,II,
Marine birds,海洋鳥類,Laridae,鷗科,"Thalasseus bergii
(Synonym : Sterna bergii)",鳳頭燕鷗,II,
Marine birds,海洋鳥類,Laridae,鷗科,"Thalasseus bernsteini
(Synonym : Sterna bernsteini)",黑嘴端鳳頭燕鷗,I,
Marine birds,海洋鳥類,Fregatidae,軍艦鳥科,Fregata andrewsi,白腹軍艦鳥,I,
Marine birds,海洋鳥類,Sulidae,鰹鳥科,Papasula abbotti,粉嘴鰹鳥,I,
Marine birds,海洋鳥類,Pelecanidae,鵜鶘科,Pelecanus crispus,卷羽鵜鶘,I,
Marine birds,海洋鳥類,Diomedeidae,信天翁科,Phoebastria albatrus,短尾信天翁,I,
Marine birds,海洋鳥類,Diomedeidae,信天翁科,Phoebastria nigripes,黑腳信天翁,I,
Marine birds,海洋鳥類,Spheniscidae,企鵝科,Spheniscus demersus,斑嘴環企鵝,II,
Marine birds,海洋鳥類,Spheniscidae,企鵝科,Spheniscus humboldti,洪氏環企鵝,I,
Marine reptiles,海洋爬蟲類,Iguanidae,鬣蜥科,Amblyrhynchus cristatus,海鬣蜥,II,
Marine reptiles,海洋爬蟲類,Cheloniidae,蠵龜科,Caretta caretta,赤蠵龜,I,
Marine reptiles,海洋爬蟲類,Cheloniidae,蠵龜科,Chelonia mydas,綠蠵龜,I,
Marine reptiles,海洋爬蟲類,Cheloniidae,蠵龜科,Eretmochelys imbricata,玳瑁,I,
Marine reptiles,海洋爬蟲類,Cheloniidae,蠵龜科,Lepidochelys olivacea,欖蠵龜,I,
Marine reptiles,海洋爬蟲類,Cheloniidae,蠵龜科,Lepidochelys kempii,肯氏龜,I,
Marine reptiles,海洋爬蟲類,Cheloniidae,蠵龜科,Natator depressus,平背龜,I,
Marine reptiles,海洋爬蟲類,Dermochelyidae,革龜科,Dermochelys coriacea,革龜（稜皮龜）,I,
Marine fishes,海洋魚類,Myliobatidae,?科,"Manta birostris
(Synonym : Mobula birostris )",雙吻前口蝠?,I,
Marine fishes,海洋魚類,Myliobatidae,?科,"Manta alfredi
(Synonym : Mobula alfredi )",阿氏前口蝠?,I,
Marine fishes,海洋魚類,Rhincodontidae,鯨鮫科,Rhincodon typus,鯨鯊（豆腐鯊）,I,
Marine fishes,海洋魚類,Pristidae,鋸鰩科,Pristidae spp.,鋸鰩科所有種,I,
Marine fishes,海洋魚類,Acipenseridae,鱘科,Acipenser brevirostrum,短吻鱘,I,
Marine fishes,海洋魚類,Acipenseridae,鱘科,Acipenser sturio,斑點鱘,I,
Marine fishes,海洋魚類,Labridae,隆頭魚科,Cheilinus undulatus,曲紋唇魚（波紋唇魚、龍王鯛、蘇眉魚）,II,
Marine fishes,海洋魚類,Scaridae,鸚哥魚科,Bolbometopon muricatum,隆頭鸚哥魚（駝峰大鸚嘴魚）,II,
Marine fishes,海洋魚類,Sciaenidae,石首魚科,Totoaba macdonaldi,加州犬形黃花魚,I,
Marine fishes,海洋魚類,Latimeriidae,腔棘魚科,Latimeria spp.,腔棘魚屬所有種,I,
Other marine species,其他種類之物種,Caryophylliidae,葵珊瑚科,Polycyathus chaishanensis,柴山多杯孔珊瑚,I,
Other marine species,其他種類之物種,Siderastreidae,絲珊瑚科,Pseudosiderastrea formosa,福爾摩沙偽絲珊瑚,I,
